filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[16705,49971]_patch_6_8",0.5121,0.9657,0.7984,0.7587,0.6489,0.6812,0.9642,0.7648,18.34,28.39,25.25,23.99
"[17039,52008]_patch_0_0",0.9456,0.8305,0.8613,0.8791,0.6393,0.5554,0.9738,0.7228,30.51,21.86,29.69,27.35
"[17039,52008]_patch_0_1",0.8537,0.8468,0.8699,0.8568,0.5905,0.6029,0.9730,0.7222,25.31,21.93,29.63,25.62
"[17039,52008]_patch_0_2",0.7809,0.9330,0.9055,0.8731,0.6008,0.6463,0.9735,0.7402,25.79,25.74,30.90,27.47
"[17039,52008]_patch_0_3",0.8095,0.9150,0.9015,0.8753,0.7034,0.5127,0.9744,0.7301,28.14,25.10,30.69,27.98
"[17039,52008]_patch_0_4",0.7460,0.9340,0.9033,0.8611,0.7898,0.4664,0.9667,0.7410,26.06,25.77,31.64,27.82
"[17039,52008]_patch_0_5",0.6300,0.9809,0.8819,0.8309,0.8186,0.3159,0.9701,0.7015,20.26,29.94,30.63,26.94
"[17039,52008]_patch_0_6",0.6867,0.8804,0.8399,0.8023,0.7686,0.5413,0.9690,0.7596,19.09,23.73,28.51,23.78
"[17039,52008]_patch_0_7",0.7989,0.7626,0.8466,0.8027,0.6270,0.5571,0.9733,0.7192,23.21,20.14,28.66,24.00
"[17039,52008]_patch_0_8",0.7971,0.8071,0.8588,0.8210,0.6139,0.5509,0.9778,0.7142,20.92,21.20,28.20,23.44
"[17039,52008]_patch_1_0",0.8484,0.8738,0.8838,0.8687,0.8780,0.5337,0.9747,0.7955,26.73,23.72,31.09,27.18
"[17039,52008]_patch_1_1",0.7867,0.9317,0.9032,0.8739,0.9125,0.5699,0.9706,0.8177,25.95,24.82,31.73,27.50
"[17039,52008]_patch_1_2",0.8095,0.9449,0.8998,0.8847,0.8901,0.4896,0.9698,0.7832,27.11,26.27,30.68,28.02
"[17039,52008]_patch_1_3",0.8747,0.8965,0.8692,0.8801,0.7068,0.4732,0.9735,0.7178,27.43,24.32,29.27,27.01
"[17039,52008]_patch_1_4",0.7388,0.9245,0.8780,0.8471,0.6886,0.4266,0.9628,0.6926,24.01,25.30,30.45,26.59
"[17039,52008]_patch_1_5",0.6773,0.9648,0.8785,0.8402,0.6881,0.5031,0.9644,0.7185,21.42,29.97,30.48,27.29
"[17039,52008]_patch_1_6",0.7811,0.8246,0.8572,0.8210,0.6942,0.5881,0.9704,0.7509,21.77,21.76,29.56,24.36
"[17039,52008]_patch_1_7",0.8588,0.7604,0.8665,0.8285,0.6478,0.5735,0.9740,0.7318,24.31,20.27,29.79,24.79
"[17039,52008]_patch_1_8",0.7608,0.8690,0.8698,0.8332,0.6864,0.5891,0.9796,0.7517,18.57,23.34,28.30,23.40
"[17039,52008]_patch_2_0",0.6351,0.9184,0.8974,0.8170,0.7393,0.4692,0.9724,0.7270,21.73,25.92,31.45,26.37
"[17039,52008]_patch_2_1",0.6724,0.9711,0.9011,0.8482,0.9079,0.5301,0.9740,0.8040,23.16,30.74,30.86,28.25
"[17039,52008]_patch_2_2",0.8315,0.9207,0.8677,0.8733,0.9148,0.5040,0.9707,0.7965,24.82,25.01,29.64,26.49
"[17039,52008]_patch_2_3",0.8815,0.8937,0.8658,0.8803,0.8955,0.5754,0.9716,0.8142,27.60,24.06,29.49,27.05
"[17039,52008]_patch_2_4",0.7074,0.9407,0.8507,0.8330,0.7536,0.5676,0.9655,0.7622,20.97,26.60,28.96,25.51
"[17039,52008]_patch_2_5",0.6836,0.9479,0.8554,0.8290,0.6200,0.4725,0.9671,0.6865,19.86,27.86,29.52,25.75
"[17039,52008]_patch_2_6",0.8582,0.8178,0.8660,0.8473,0.5390,0.5809,0.9746,0.6982,23.15,21.47,29.82,24.81
"[17039,52008]_patch_2_7",0.8847,0.7919,0.8734,0.8500,0.7828,0.5766,0.9757,0.7783,23.01,20.90,29.63,24.51
"[17039,52008]_patch_2_8",0.8183,0.8650,0.8712,0.8515,0.7713,0.5887,0.9789,0.7796,21.09,23.31,28.25,24.22
"[17039,52008]_patch_3_0",0.6302,0.8898,0.8783,0.7994,0.7031,0.5595,0.9723,0.7450,21.21,23.82,30.32,25.12
"[17039,52008]_patch_3_1",0.7074,0.9568,0.8849,0.8497,0.8737,0.6506,0.9745,0.8329,23.17,28.52,30.13,27.27
"[17039,52008]_patch_3_2",0.7467,0.9413,0.8785,0.8555,0.8974,0.5414,0.9730,0.8039,22.79,26.14,30.02,26.32
"[17039,52008]_patch_3_3",0.6718,0.9449,0.8854,0.8340,0.8764,0.6270,0.9740,0.8258,22.58,26.73,30.60,26.64
"[17039,52008]_patch_3_4",0.5983,0.9694,0.8568,0.8082,0.7477,0.7208,0.9713,0.8133,20.40,30.03,29.37,26.60
"[17039,52008]_patch_3_5",0.6128,0.9556,0.8491,0.8059,0.6573,0.5571,0.9703,0.7282,19.10,27.86,29.41,25.46
"[17039,52008]_patch_3_6",0.8170,0.8411,0.8641,0.8407,0.7217,0.4915,0.9745,0.7292,22.14,21.88,29.82,24.61
"[17039,52008]_patch_3_7",0.8706,0.8233,0.8634,0.8524,0.8598,0.5485,0.9758,0.7947,23.61,21.52,29.33,24.82
"[17039,52008]_patch_3_8",0.8323,0.8663,0.8605,0.8530,0.7874,0.6005,0.9770,0.7883,22.71,23.07,28.43,24.74
"[17039,52008]_patch_4_0",0.6915,0.8597,0.8474,0.7996,0.7574,0.5295,0.9688,0.7519,21.04,22.37,29.47,24.29
"[17039,52008]_patch_4_1",0.6517,0.9539,0.8563,0.8206,0.7886,0.6296,0.9697,0.7960,20.42,27.32,29.59,25.78
"[17039,52008]_patch_4_2",0.5737,0.9812,0.8717,0.8088,0.8031,0.5773,0.9729,0.7844,20.34,31.23,29.93,27.17
"[17039,52008]_patch_4_3",0.5175,0.9803,0.8563,0.7847,0.7592,0.6139,0.9720,0.7817,20.43,31.38,29.56,27.12
"[17039,52008]_patch_4_4",0.5254,0.9821,0.8543,0.7873,0.7551,0.7238,0.9721,0.8170,20.91,32.22,29.40,27.51
"[17039,52008]_patch_4_5",0.5373,0.9804,0.8969,0.8049,0.7297,0.6785,0.9770,0.7951,21.27,31.51,30.76,27.85
"[17039,52008]_patch_4_6",0.7480,0.8433,0.8933,0.8282,0.7332,0.4855,0.9761,0.7316,23.73,21.76,30.80,25.43
"[17039,52008]_patch_4_7",0.8936,0.7890,0.8555,0.8460,0.8426,0.5201,0.9755,0.7794,24.31,20.73,29.16,24.73
"[17039,52008]_patch_4_8",0.8610,0.8530,0.8561,0.8567,0.7624,0.5709,0.9756,0.7696,23.40,22.48,28.84,24.90
"[17039,52008]_patch_5_0",0.7295,0.8860,0.8504,0.8220,0.7542,0.5436,0.9677,0.7552,21.54,23.40,29.95,24.96
"[17039,52008]_patch_5_1",0.6588,0.9562,0.8527,0.8226,0.8088,0.6340,0.9681,0.8036,20.42,27.27,29.99,25.89
"[17039,52008]_patch_5_2",0.5252,0.9787,0.8359,0.7799,0.7393,0.6855,0.9688,0.7979,18.85,31.10,28.98,26.31
"[17039,52008]_patch_5_3",0.5288,0.9734,0.8256,0.7759,0.7129,0.7203,0.9668,0.8000,19.76,30.62,28.62,26.33
"[17039,52008]_patch_5_4",0.4546,0.9893,0.8925,0.7788,0.8319,0.7468,0.9768,0.8518,21.61,35.81,30.35,29.26
"[17039,52008]_patch_5_5",0.3838,0.9958,0.9644,0.7813,0.7991,-0.0005,0.9799,0.5928,22.69,37.78,34.56,31.68
"[17039,52008]_patch_5_6",0.6780,0.8758,0.9082,0.8207,0.7209,0.4828,0.9766,0.7268,23.40,23.18,31.24,25.94
"[17039,52008]_patch_5_7",0.8950,0.7789,0.8689,0.8476,0.5943,0.4939,0.9749,0.6877,23.90,20.71,30.35,24.99
"[17039,52008]_patch_5_8",0.8682,0.8129,0.8635,0.8482,0.6057,0.5580,0.9744,0.7127,23.19,21.38,29.62,24.73
"[17039,52008]_patch_6_0",0.8500,0.8602,0.8527,0.8543,0.7027,0.5782,0.9695,0.7502,24.86,22.71,29.83,25.80
"[17039,52008]_patch_6_1",0.7713,0.9355,0.8417,0.8495,0.8793,0.6491,0.9665,0.8317,22.47,26.07,29.69,26.07
"[17039,52008]_patch_6_2",0.6352,0.9673,0.8187,0.8070,0.7746,0.4912,0.9628,0.7429,21.15,27.92,29.03,26.03
"[17039,52008]_patch_6_3",0.5161,0.9851,0.8666,0.7893,0.8342,0.7403,0.9719,0.8488,20.89,32.68,30.19,27.92
"[17039,52008]_patch_6_4",0.3359,0.9964,0.9600,0.7641,0.9252,0.8513,0.9818,0.9194,24.54,41.07,35.07,33.56
"[17039,52008]_patch_6_5",0.3905,0.9906,0.9588,0.7800,0.8374,0.5713,0.9801,0.7962,23.01,35.24,33.96,30.74
"[17039,52008]_patch_6_6",0.6457,0.9005,0.8924,0.8129,0.7402,0.3385,0.9755,0.6847,21.24,24.57,31.32,25.71
"[17039,52008]_patch_6_7",0.8538,0.8144,0.8669,0.8451,0.6034,0.4399,0.9747,0.6727,22.41,21.65,30.47,24.84
"[17039,52008]_patch_6_8",0.7947,0.8273,0.8653,0.8291,0.4391,0.5284,0.9737,0.6470,20.62,21.69,30.26,24.19
"[18778,52957]_patch_0_0",0.6815,0.9413,0.8166,0.8131,0.8407,0.6870,0.9531,0.8269,19.84,26.71,28.49,25.01
"[18778,52957]_patch_0_1",0.6513,0.9664,0.7954,0.8043,0.8090,0.7549,0.9442,0.8361,20.78,28.74,27.41,25.64
"[18778,52957]_patch_0_2",0.6357,0.9655,0.7930,0.7980,0.7800,0.7542,0.9459,0.8267,20.88,28.23,27.59,25.57
"[18778,52957]_patch_0_3",0.5671,0.9867,0.7888,0.7809,0.7333,0.8408,0.9492,0.8411,19.18,33.33,27.19,26.57
"[18778,52957]_patch_0_4",0.6256,0.9723,0.8166,0.8048,0.8195,0.7945,0.9551,0.8564,19.33,29.82,28.47,25.87
"[18778,52957]_patch_0_5",0.7176,0.9426,0.8191,0.8264,0.8661,0.6718,0.9598,0.8326,20.77,26.11,28.50,25.13
"[18778,52957]_patch_0_6",0.7245,0.9186,0.8314,0.8248,0.8676,0.6510,0.9605,0.8264,21.19,24.32,29.47,24.99
"[18778,52957]_patch_0_7",0.6636,0.9345,0.8296,0.8092,0.8343,0.7669,0.9558,0.8523,19.86,26.55,29.18,25.20
"[18778,52957]_patch_0_8",0.6816,0.9704,0.8099,0.8206,0.7992,0.8512,0.9503,0.8669,21.78,29.91,27.98,26.56
"[18778,52957]_patch_1_0",0.6751,0.9354,0.8210,0.8105,0.8421,0.6279,0.9501,0.8067,19.50,25.17,28.76,24.48
"[18778,52957]_patch_1_1",0.6391,0.9722,0.7916,0.8010,0.8105,0.6935,0.9362,0.8134,19.94,29.54,27.21,25.56
"[18778,52957]_patch_1_2",0.6305,0.9728,0.7888,0.7974,0.7829,0.7192,0.9364,0.8129,20.05,29.16,27.38,25.53
"[18778,52957]_patch_1_3",0.5932,0.9800,0.7832,0.7855,0.7688,0.7586,0.9373,0.8215,19.47,31.20,26.93,25.87
"[18778,52957]_patch_1_4",0.6608,0.9432,0.8073,0.8038,0.8550,0.7366,0.9505,0.8474,19.49,26.78,27.69,24.65
"[18778,52957]_patch_1_5",0.7260,0.8992,0.8373,0.8208,0.8819,0.6401,0.9610,0.8276,18.73,24.20,29.49,24.14
"[18778,52957]_patch_1_6",0.6932,0.9074,0.8316,0.8107,0.8654,0.6151,0.9586,0.8130,19.10,24.52,29.39,24.34
"[18778,52957]_patch_1_7",0.6587,0.9339,0.8239,0.8055,0.8483,0.6908,0.9470,0.8287,19.38,26.10,28.53,24.67
"[18778,52957]_patch_1_8",0.6702,0.9642,0.8199,0.8181,0.8489,0.7326,0.9461,0.8425,20.28,28.60,28.25,25.71
"[18778,52957]_patch_2_0",0.6844,0.9409,0.8205,0.8153,0.8034,0.6383,0.9510,0.7976,20.00,27.14,28.71,25.28
"[18778,52957]_patch_2_1",0.6957,0.9579,0.8132,0.8222,0.8215,0.7124,0.9420,0.8253,19.83,28.72,28.02,25.52
"[18778,52957]_patch_2_2",0.6731,0.9598,0.7949,0.8093,0.8247,0.7339,0.9370,0.8319,19.66,27.69,27.37,24.91
"[18778,52957]_patch_2_3",0.6544,0.9580,0.7928,0.8017,0.7923,0.7105,0.9366,0.8131,19.91,27.38,27.35,24.88
"[18778,52957]_patch_2_4",0.7526,0.9203,0.8421,0.8383,0.7933,0.6595,0.9543,0.8024,21.92,24.92,29.82,25.55
"[18778,52957]_patch_2_5",0.7954,0.8858,0.8482,0.8431,0.8365,0.6259,0.9615,0.8080,21.80,23.59,30.08,25.16
"[18778,52957]_patch_2_6",0.6693,0.9338,0.8152,0.8061,0.8400,0.5903,0.9523,0.7942,18.77,26.19,28.83,24.60
"[18778,52957]_patch_2_7",0.6531,0.9484,0.8096,0.8037,0.8298,0.5898,0.9471,0.7889,19.29,26.69,28.09,24.69
"[18778,52957]_patch_2_8",0.6965,0.9307,0.8398,0.8223,0.8696,0.5584,0.9527,0.7935,19.15,25.83,29.44,24.80
"[18778,52957]_patch_3_0",0.7372,0.9035,0.8431,0.8280,0.7849,0.6012,0.9618,0.7827,19.05,24.40,29.92,24.46
"[18778,52957]_patch_3_1",0.7631,0.9320,0.8370,0.8440,0.8611,0.7233,0.9561,0.8468,20.09,26.49,29.20,25.26
"[18778,52957]_patch_3_2",0.7041,0.9529,0.8199,0.8256,0.8401,0.7511,0.9429,0.8447,20.16,26.95,28.71,25.27
"[18778,52957]_patch_3_3",0.6639,0.9361,0.8271,0.8090,0.7997,0.6370,0.9470,0.7946,18.06,24.87,29.15,24.02
"[18778,52957]_patch_3_4",0.7820,0.8870,0.8555,0.8415,0.7676,0.5871,0.9643,0.7730,20.83,22.69,30.67,24.73
"[18778,52957]_patch_3_5",0.7799,0.8871,0.8483,0.8384,0.8270,0.5952,0.9642,0.7955,20.39,23.23,30.19,24.61
"[18778,52957]_patch_3_6",0.7063,0.9215,0.8162,0.8147,0.8162,0.6117,0.9549,0.7943,20.24,24.48,29.02,24.58
"[18778,52957]_patch_3_7",0.6864,0.9104,0.8287,0.8085,0.7967,0.5883,0.9616,0.7822,18.81,24.07,29.57,24.15
"[18778,52957]_patch_3_8",0.7265,0.8847,0.8542,0.8218,0.8231,0.4847,0.9663,0.7580,18.40,22.77,30.79,23.99
"[18778,52957]_patch_4_0",0.7386,0.8232,0.8458,0.8025,0.5036,0.5454,0.9686,0.6726,21.26,20.94,29.29,23.83
"[18778,52957]_patch_4_1",0.7658,0.9037,0.8519,0.8405,0.7597,0.6323,0.9640,0.7853,19.53,23.58,30.50,24.53
"[18778,52957]_patch_4_2",0.6271,0.9590,0.8326,0.8062,0.7380,0.6729,0.9517,0.7875,17.66,27.33,29.82,24.94
"[18778,52957]_patch_4_3",0.6529,0.9303,0.8390,0.8074,0.7718,0.5019,0.9553,0.7430,18.92,24.12,30.26,24.43
