filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[17039,52008]_patch_2_3",0.3854,0.1780,0.6621,0.4085,0.7703,0.2202,0.9242,0.6382,16.72,14.63,19.09,16.82
"[17039,52008]_patch_2_4",0.4025,0.2018,0.6660,0.4234,0.6395,0.1974,0.9167,0.5845,15.67,15.51,19.75,16.98
"[17039,52008]_patch_2_5",0.2141,0.1280,0.6780,0.3400,0.4870,0.0773,0.9260,0.4967,13.86,17.18,19.29,16.77
"[17039,52008]_patch_2_6",0.2134,0.1089,0.6505,0.3243,0.2238,0.2719,0.9449,0.4802,13.71,14.15,21.84,16.56
"[17039,52008]_patch_2_7",0.5490,0.1852,0.6579,0.4640,0.7320,0.2195,0.9355,0.6290,18.56,15.18,22.28,18.67
"[17039,52008]_patch_2_8",0.5890,0.2131,0.6648,0.4890,0.8037,0.2834,0.9311,0.6727,15.57,16.72,17.13,16.48
"[17039,52008]_patch_3_0",0.2988,0.3846,0.6833,0.4556,0.5848,0.1250,0.9375,0.5491,13.33,13.70,22.05,16.36
"[17039,52008]_patch_3_1",0.5025,0.7126,0.6711,0.6287,0.8222,0.1778,0.9336,0.6445,15.47,19.21,19.46,18.05
"[17039,52008]_patch_3_2",0.5321,0.6677,0.6630,0.6209,0.8415,0.2628,0.9346,0.6796,16.76,19.34,18.20,18.10
"[17039,52008]_patch_3_3",0.4730,0.4423,0.6535,0.5229,0.8033,0.3294,0.9250,0.6859,13.57,16.62,18.67,16.28
"[17039,52008]_patch_3_4",0.3575,0.9421,0.6579,0.6525,0.6488,0.3957,0.9227,0.6557,11.23,26.01,16.50,17.91
"[17039,52008]_patch_3_5",0.3706,0.2075,0.6743,0.4175,0.4854,0.0941,0.9183,0.4993,12.14,17.52,16.18,15.28
"[17039,52008]_patch_3_6",0.5678,0.2068,0.6468,0.4738,0.6066,0.2096,0.9409,0.5857,16.76,16.17,22.30,18.41
"[17039,52008]_patch_3_7",0.6571,0.2769,0.6424,0.5254,0.8115,0.3361,0.9275,0.6917,15.79,16.43,19.28,17.17
"[17039,52008]_patch_3_8",0.5285,0.2641,0.6673,0.4867,0.7010,0.2865,0.9265,0.6380,14.75,17.34,17.68,16.59
"[17039,52008]_patch_4_0",0.2141,0.1741,0.6824,0.3569,0.6140,0.1442,0.9359,0.5647,14.71,18.67,21.81,18.40
"[17039,52008]_patch_4_1",0.4803,0.3183,0.6541,0.4842,0.7033,0.1497,0.9276,0.5935,15.17,19.05,20.64,18.28
"[17039,52008]_patch_4_2",0.4971,0.3967,0.6630,0.5189,0.7292,0.0506,0.9352,0.5717,12.15,18.71,18.80,16.55
"[17039,52008]_patch_4_3",0.4538,0.2080,0.6421,0.4346,0.7063,0.0790,0.9346,0.5733,11.01,7.18,16.64,11.61
"[17039,52008]_patch_4_4",0.4537,0.2169,0.6331,0.4346,0.6173,0.0728,0.9351,0.5417,10.75,14.97,15.08,13.60
"[17039,52008]_patch_4_5",0.5821,0.4908,0.6459,0.5729,0.6620,0.1228,0.9397,0.5748,12.10,18.49,17.01,15.87
"[17039,52008]_patch_4_6",0.7358,0.4126,0.6518,0.6001,0.6945,0.3381,0.9340,0.6555,17.03,17.51,23.43,19.32
"[17039,52008]_patch_4_7",0.7114,0.2460,0.6182,0.5252,0.7819,0.3391,0.9375,0.6862,17.06,16.87,20.11,18.02
"[17039,52008]_patch_4_8",0.4511,0.1844,0.6675,0.4343,0.6689,0.2330,0.9382,0.6133,14.73,17.12,20.58,17.48
"[17039,52008]_patch_5_0",0.1840,0.1734,0.6732,0.3435,0.5426,0.1104,0.9335,0.5288,14.05,19.51,22.96,18.84
"[17039,52008]_patch_5_1",0.3683,0.2530,0.6877,0.4363,0.7122,0.1511,0.9283,0.5972,13.33,17.52,20.67,17.17
"[17039,52008]_patch_5_2",0.4158,0.0880,0.6543,0.3860,0.6233,0.0467,0.9332,0.5344,11.25,17.40,15.96,14.87
"[17039,52008]_patch_5_3",0.3840,0.1024,0.6333,0.3732,0.4885,0.0663,0.9282,0.4944,10.77,7.05,14.96,10.93
"[17039,52008]_patch_5_4",0.6359,0.5196,0.6374,0.5976,0.7197,0.0750,0.9522,0.5823,11.93,19.11,17.72,16.25
"[17039,52008]_patch_5_5",0.7995,0.9728,0.6516,0.8079,0.7928,0.0743,0.9524,0.6065,18.86,27.02,24.63,23.50
"[17039,52008]_patch_5_6",0.6537,0.7946,0.6440,0.6975,0.7513,0.3248,0.9402,0.6721,18.51,18.38,23.83,20.24
"[17039,52008]_patch_5_7",0.3468,0.2230,0.6429,0.4042,0.5939,0.2186,0.9466,0.5864,19.62,17.92,24.37,20.64
"[17039,52008]_patch_5_8",0.3643,0.0980,0.6571,0.3731,0.4269,0.1672,0.9371,0.5104,18.33,16.78,21.00,18.70
"[17039,52008]_patch_6_0",0.1442,0.0781,0.6510,0.2911,0.3087,0.2722,0.9445,0.5085,14.13,13.94,25.50,17.85
"[17039,52008]_patch_6_1",0.2978,0.1624,0.6910,0.3837,0.7834,0.1489,0.9278,0.6200,11.96,17.61,20.42,16.66
"[17039,52008]_patch_6_2",0.3356,0.6043,0.6431,0.5277,0.6682,0.0898,0.9245,0.5609,10.19,17.86,14.57,14.21
"[17039,52008]_patch_6_3",0.5587,0.3458,0.6280,0.5109,0.7035,0.0861,0.9442,0.5779,12.49,18.67,15.70,15.62
"[17039,52008]_patch_6_4",0.8763,0.8065,0.8736,0.8522,0.8382,0.1720,0.9641,0.6581,17.58,21.01,22.45,20.35
"[17039,52008]_patch_6_5",0.7737,0.7148,0.6433,0.7106,0.8315,0.1284,0.9461,0.6353,16.93,12.66,24.07,17.89
"[17039,52008]_patch_6_6",0.5291,0.3980,0.6684,0.5318,0.7631,0.2131,0.9398,0.6387,14.73,22.00,21.56,19.43
"[17039,52008]_patch_6_7",0.4099,0.3773,0.6536,0.4803,0.4967,0.1363,0.9469,0.5267,17.11,14.58,23.62,18.44
"[17039,52008]_patch_6_8",0.2503,0.1579,0.6587,0.3556,0.4149,0.1151,0.9380,0.4893,16.32,17.24,20.80,18.12
"[18778,52957]_patch_0_0",0.4277,0.8585,0.6446,0.6436,0.7565,0.3193,0.9164,0.6640,13.47,23.32,14.78,17.19
"[18778,52957]_patch_0_1",0.3339,0.0708,0.6373,0.3473,0.6572,0.2651,0.9197,0.6140,10.56,17.73,13.57,13.95
"[18778,52957]_patch_0_2",0.3445,0.1052,0.6298,0.3598,0.6251,0.2682,0.9188,0.6040,11.19,18.33,13.32,14.28
"[18778,52957]_patch_0_3",0.4490,0.8903,0.6240,0.6544,0.5442,0.1928,0.9128,0.5499,14.21,26.35,13.73,18.10
"[18778,52957]_patch_0_4",0.4318,0.9310,0.6344,0.6657,0.6660,0.3761,0.9168,0.6530,11.85,25.30,14.10,17.08
"[18778,52957]_patch_0_5",0.4870,0.8853,0.6465,0.6729,0.7693,0.3393,0.9292,0.6793,11.91,22.83,14.99,16.58
"[18778,52957]_patch_0_6",0.4893,0.8319,0.6394,0.6535,0.7722,0.2857,0.9200,0.6593,13.16,21.09,14.15,16.13
"[18778,52957]_patch_0_7",0.4428,0.3025,0.6281,0.4578,0.7581,0.3102,0.9123,0.6602,12.49,21.21,14.33,16.01
"[18778,52957]_patch_0_8",0.3792,0.2343,0.6405,0.4180,0.7514,0.2631,0.9213,0.6453,11.00,20.35,15.44,15.60
"[18778,52957]_patch_1_0",0.4846,0.8121,0.6263,0.6410,0.7492,0.3152,0.9093,0.6579,13.66,21.64,14.26,16.52
"[18778,52957]_patch_1_1",0.3874,0.0526,0.6357,0.3586,0.7253,0.2650,0.9143,0.6349,12.27,18.56,13.84,14.89
"[18778,52957]_patch_1_2",0.3682,0.0870,0.6341,0.3631,0.6504,0.2229,0.9116,0.5950,11.24,18.91,13.76,14.64
"[18778,52957]_patch_1_3",0.3904,0.0869,0.6262,0.3678,0.6257,0.1300,0.9092,0.5550,11.17,21.33,14.11,15.54
"[18778,52957]_patch_1_4",0.4544,0.8891,0.6474,0.6636,0.6705,0.3540,0.9136,0.6461,12.00,23.43,15.38,16.94
"[18778,52957]_patch_1_5",0.5799,0.2052,0.6310,0.4720,0.8039,0.3719,0.9267,0.7008,14.81,18.72,15.19,16.24
"[18778,52957]_patch_1_6",0.5228,0.1710,0.6361,0.4433,0.7335,0.3115,0.9153,0.6534,13.53,20.03,15.07,16.21
"[18778,52957]_patch_1_7",0.4494,0.1771,0.6147,0.4137,0.7586,0.3297,0.9070,0.6651,12.73,19.83,14.30,15.62
"[18778,52957]_patch_1_8",0.4310,0.2556,0.6424,0.4430,0.7894,0.2868,0.9190,0.6651,12.45,20.36,15.40,16.07
"[18778,52957]_patch_2_0",0.4619,0.0738,0.6223,0.3860,0.7160,0.2689,0.9009,0.6286,12.03,18.47,14.60,15.03
"[18778,52957]_patch_2_1",0.4452,0.0709,0.6413,0.3858,0.6766,0.1736,0.9041,0.5848,12.67,20.13,15.18,15.99
"[18778,52957]_patch_2_2",0.4392,0.8912,0.6452,0.6585,0.6156,0.2769,0.9088,0.6005,13.34,24.56,15.21,17.70
"[18778,52957]_patch_2_3",0.3698,0.8762,0.6010,0.6157,0.6210,0.2713,0.9034,0.5986,12.24,23.78,13.18,16.40
"[18778,52957]_patch_2_4",0.4252,0.1577,0.6144,0.3991,0.6978,0.3246,0.9019,0.6415,11.06,21.08,14.19,15.44
"[18778,52957]_patch_2_5",0.5762,0.1623,0.6214,0.4533,0.8023,0.3636,0.9235,0.6965,13.67,18.49,15.19,15.78
"[18778,52957]_patch_2_6",0.4660,0.8887,0.6358,0.6635,0.6994,0.3413,0.9147,0.6518,12.29,24.02,14.97,17.09
"[18778,52957]_patch_2_7",0.3812,0.1145,0.6244,0.3734,0.6643,0.2566,0.9047,0.6086,12.15,18.96,14.31,15.14
"[18778,52957]_patch_2_8",0.4652,0.2015,0.6589,0.4419,0.7880,0.2133,0.9111,0.6375,14.56,17.72,16.32,16.20
"[18778,52957]_patch_3_0",0.3861,0.0680,0.6512,0.3684,0.6146,0.1378,0.9190,0.5571,13.48,17.16,16.17,15.60
"[18778,52957]_patch_3_1",0.4906,0.1411,0.6350,0.4222,0.6827,0.2018,0.9143,0.5996,15.35,20.35,15.58,17.10
"[18778,52957]_patch_3_2",0.4054,0.8265,0.6184,0.6168,0.6381,0.2420,0.9093,0.5965,12.68,22.60,13.82,16.37
"[18778,52957]_patch_3_3",0.4169,0.0598,0.6090,0.3619,0.7022,0.3000,0.9066,0.6363,13.13,17.02,13.75,14.63
"[18778,52957]_patch_3_4",0.4524,0.1403,0.6288,0.4072,0.7629,0.2927,0.9108,0.6555,14.00,17.91,15.81,15.91
"[18778,52957]_patch_3_5",0.4610,0.1727,0.6342,0.4226,0.7647,0.2931,0.9226,0.6601,15.11,18.14,15.69,16.31
"[18778,52957]_patch_3_6",0.3074,0.1634,0.6263,0.3657,0.6805,0.2028,0.9200,0.6011,9.87,19.30,13.99,14.38
"[18778,52957]_patch_3_7",0.3730,0.1836,0.6326,0.3964,0.6802,0.1655,0.9171,0.5876,11.89,19.30,15.91,15.70
"[18778,52957]_patch_3_8",0.4400,0.2721,0.6552,0.4558,0.7791,0.2059,0.9315,0.6388,14.31,19.62,18.84,17.59
"[18778,52957]_patch_4_0",0.1149,0.0802,0.6605,0.2852,0.1552,0.1734,0.9249,0.4178,10.39,10.35,16.74,12.49
"[18778,52957]_patch_4_1",0.3094,0.0750,0.6557,0.3467,0.6602,0.1806,0.9130,0.5846,11.99,16.30,17.68,15.33
"[18778,52957]_patch_4_2",0.3745,0.0314,0.6286,0.3448,0.6670,0.1564,0.9145,0.5793,12.48,16.35,15.17,14.67
"[18778,52957]_patch_4_3",0.3709,0.0605,0.6412,0.3576,0.6711,0.1415,0.9145,0.5757,13.16,15.57,15.48,14.74
"[18778,52957]_patch_4_4",0.2624,0.1878,0.6602,0.3701,0.5790,0.2155,0.9213,0.5720,13.52,18.53,19.01,17.02
"[18778,52957]_patch_4_5",0.2761,0.1507,0.6631,0.3633,0.6442,0.1757,0.9312,0.5837,14.59,17.43,18.70,16.91
"[18778,52957]_patch_4_6",0.2350,0.1758,0.6579,0.3562,0.6971,0.0932,0.9218,0.5707,11.94,17.41,17.79,15.71
"[18778,52957]_patch_4_7",0.2684,0.2643,0.6401,0.3909,0.6868,0.1840,0.9303,0.6003,14.22,18.52,20.09,17.61
"[18778,52957]_patch_4_8",0.2855,0.3101,0.6421,0.4126,0.6774,0.1907,0.9396,0.6026,15.09,19.15,21.46,18.57
"[18778,52957]_patch_5_0",0.9178,0.1235,0.6640,0.5685,0.2225,0.1648,0.9211,0.4361,23.37,11.09,15.21,16.56
"[18778,52957]_patch_5_1",0.1302,0.2964,0.6539,0.3602,0.3263,0.2192,0.9376,0.4943,12.49,13.10,20.13,15.24
"[18778,52957]_patch_5_2",0.3007,0.2771,0.6448,0.4075,0.6535,0.1593,0.9193,0.5774,13.81,12.18,18.18,14.72
"[18778,52957]_patch_5_3",0.2880,0.2174,0.6355,0.3803,0.6211,0.1755,0.9114,0.5693,12.61,10.95,16.34,13.30
"[18778,52957]_patch_5_4",0.2187,0.1813,0.6694,0.3565,0.3085,0.1975,0.9171,0.4744,11.07,10.07,16.47,12.54
"[18778,52957]_patch_5_5",0.0762,0.1228,0.6683,0.2891,0.0496,0.3411,0.9259,0.4388,9.57,10.79,16.83,12.39
"[18778,52957]_patch_5_6",0.0989,0.1272,0.6430,0.2897,0.1544,0.4161,0.9372,0.5026,11.54,12.89,18.80,14.41
"[18778,52957]_patch_5_7",0.1159,0.1208,0.6283,0.2883,0.1111,0.3809,0.9466,0.4795,13.09,13.88,20.41,15.79
"[18778,52957]_patch_5_8",0.0582,0.0884,0.6395,0.2621,0.0947,0.2710,0.9431,0.4363,11.41,12.09,19.62,14.37
"[18778,52957]_patch_6_0",0.5073,0.1523,0.7084,0.4560,0.0808,0.3072,0.9347,0.4409,17.71,12.98,18.16,16.28
"[18778,52957]_patch_6_1",0.7945,0.1402,0.6514,0.5287,0.0258,0.3962,0.9356,0.4525,26.23,11.49,17.78,18.50
"[18778,52957]_patch_6_2",0.0974,0.2020,0.6283,0.3092,0.0521,0.4972,0.9314,0.4936,10.84,13.88,16.93,13.88
"[18778,52957]_patch_6_3",0.5347,0.2261,0.6344,0.4651,0.0779,0.4194,0.9144,0.4706,16.44,13.15,15.71,15.10
"[18778,52957]_patch_6_4",0.6630,0.1608,0.6196,0.4811,0.0430,0.1803,0.9021,0.3751,19.37,10.20,13.23,14.27
"[18778,52957]_patch_6_5",0.9289,0.1756,0.6261,0.5769,0.1286,0.2831,0.9086,0.4401,22.66,10.34,13.67,15.55
"[18778,52957]_patch_6_6",0.0284,0.1595,0.6427,0.2769,0.1109,0.5033,0.9312,0.5151,8.84,12.28,17.07,12.73
"[18778,52957]_patch_6_7",0.0311,0.1197,0.6278,0.2595,0.0544,0.4770,0.9372,0.4895,10.38,13.56,17.65,13.86
"[18778,52957]_patch_6_8",0.8092,0.1306,0.6303,0.5234,0.0416,0.4431,0.9319,0.4722,21.51,12.33,17.24,17.03
"[19129,51780]_patch_0_0",0.2560,0.8418,0.6688,0.5889,0.5188,0.0686,0.9251,0.5041,11.10,19.98,16.89,15.99
"[19129,51780]_patch_0_1",0.3162,0.7978,0.6817,0.5986,0.6676,0.0312,0.9287,0.5425,11.99,20.88,15.72,16.20
"[19129,51780]_patch_0_2",0.2736,0.0261,0.6980,0.3326,0.7214,0.0698,0.9273,0.5728,12.88,15.17,16.15,14.74
"[19129,51780]_patch_0_3",0.2589,0.7563,0.6799,0.5650,0.6398,0.0261,0.9221,0.5293,11.45,19.66,15.60,15.57
"[19129,51780]_patch_0_4",0.3062,0.0658,0.6670,0.3463,0.5631,0.0814,0.9224,0.5223,10.94,17.92,15.19,14.69
"[19129,51780]_patch_0_5",0.3509,0.8610,0.6780,0.6300,0.6255,0.1002,0.9275,0.5511,10.71,25.26,15.22,17.06
"[19129,51780]_patch_0_6",0.3917,0.1595,0.6675,0.4062,0.6602,0.0730,0.9303,0.5545,11.90,18.16,15.82,15.29
"[19129,51780]_patch_0_7",0.4339,0.2331,0.6728,0.4466,0.6591,0.0641,0.9387,0.5540,13.58,19.93,15.71,16.41
"[19129,51780]_patch_0_8",0.4738,0.3225,0.6725,0.4896,0.7241,0.1091,0.9427,0.5920,14.59,20.79,15.83,17.07
"[19129,51780]_patch_1_0",0.2796,0.0275,0.6592,0.3221,0.7727,0.1575,0.9176,0.6159,13.33,15.59,14.92,14.61
"[19129,51780]_patch_1_1",0.3019,0.0596,0.6639,0.3418,0.8096,0.1420,0.9194,0.6237,12.21,17.37,14.72,14.77
"[19129,51780]_patch_1_2",0.2711,0.0754,0.6688,0.3384,0.7841,0.1445,0.9183,0.6156,11.59,16.34,15.04,14.32
"[19129,51780]_patch_1_3",0.2895,0.6580,0.6504,0.5326,0.7355,0.1305,0.9122,0.5927,11.21,20.65,14.50,15.45
"[19129,51780]_patch_1_4",0.3381,0.0893,0.6237,0.3503,0.6829,0.1366,0.9052,0.5749,12.53,17.81,13.18,14.51
"[19129,51780]_patch_1_5",0.3754,0.0535,0.6211,0.3500,0.6856,0.1506,0.9112,0.5825,12.70,17.94,12.63,14.42
"[19129,51780]_patch_1_6",0.4505,0.8531,0.6380,0.6472,0.7123,0.2758,0.9229,0.6370,12.69,21.91,13.60,16.06
"[19129,51780]_patch_1_7",0.4361,0.1920,0.6499,0.4260,0.6458,0.2510,0.9289,0.6086,13.01,19.37,14.70,15.69
"[19129,51780]_patch_1_8",0.4729,0.2852,0.6593,0.4725,0.6837,0.2392,0.9344,0.6191,13.09,18.82,15.36,15.76
"[19129,51780]_patch_2_0",0.2763,0.0470,0.6757,0.3330,0.7465,0.1970,0.9092,0.6175,13.57,17.59,15.59,15.58
"[19129,51780]_patch_2_1",0.3244,0.0662,0.6757,0.3554,0.8081,0.2292,0.9110,0.6494,14.47,16.57,15.37,15.47
"[19129,51780]_patch_2_2",0.2720,0.1294,0.6599,0.3537,0.7355,0.2283,0.9058,0.6232,11.67,16.88,14.62,14.39
"[19129,51780]_patch_2_3",0.2974,0.2318,0.6396,0.3896,0.6886,0.1761,0.9088,0.5911,10.80,18.52,14.00,14.44
"[19129,51780]_patch_2_4",0.3500,0.1929,0.6238,0.3889,0.7033,0.1823,0.9086,0.5981,11.55,18.53,13.68,14.59
"[19129,51780]_patch_2_5",0.4407,0.1737,0.6476,0.4207,0.7652,0.2520,0.9152,0.6441,14.03,18.97,13.92,15.64
"[19129,51780]_patch_2_6",0.4442,0.1075,0.6244,0.3921,0.7321,0.3028,0.9056,0.6469,13.22,17.60,13.03,14.61
"[19129,51780]_patch_2_7",0.4293,0.1192,0.6181,0.3889,0.6021,0.3067,0.9085,0.6057,13.91,19.32,13.17,15.47
"[19129,51780]_patch_2_8",0.3873,0.1421,0.6575,0.3956,0.6642,0.2298,0.9257,0.6066,11.00,17.61,15.56,14.72
"[19129,51780]_patch_3_0",0.3497,0.7597,0.6755,0.5950,0.7504,0.2127,0.9096,0.6242,13.42,19.57,15.45,16.15
"[19129,51780]_patch_3_1",0.4053,0.6495,0.6804,0.5784,0.8257,0.3151,0.9141,0.6850,14.94,19.83,15.88,16.88
"[19129,51780]_patch_3_2",0.4414,0.6723,0.6735,0.5957,0.7977,0.2267,0.9157,0.6467,13.91,19.31,15.59,16.27
"[19129,51780]_patch_3_3",0.3571,0.7959,0.6496,0.6008,0.7747,0.2005,0.9087,0.6280,11.62,21.26,14.45,15.78
"[19129,51780]_patch_3_4",0.3632,0.8611,0.6498,0.6247,0.7633,0.2295,0.9168,0.6365,10.88,21.69,14.78,15.78
"[19129,51780]_patch_3_5",0.4358,0.7510,0.6518,0.6128,0.8129,0.2734,0.9191,0.6685,13.11,20.47,14.53,16.04
"[19129,51780]_patch_3_6",0.4121,0.7776,0.6373,0.6090,0.7610,0.3112,0.9148,0.6623,13.09,20.78,13.64,15.84
"[19129,51780]_patch_3_7",0.3919,0.1449,0.6301,0.3890,0.6445,0.3037,0.9198,0.6227,11.99,19.15,13.77,14.97
"[19129,51780]_patch_3_8",0.3950,0.1357,0.6692,0.3999,0.6732,0.1838,0.9251,0.5940,11.66,19.10,15.31,15.36
"[19129,51780]_patch_4_0",0.4719,0.7461,0.6460,0.6214,0.7835,0.3048,0.9158,0.6680,13.52,20.78,14.72,16.34
"[19129,51780]_patch_4_1",0.3405,0.6808,0.6658,0.5624,0.8154,0.2991,0.9145,0.6763,13.37,19.26,15.33,15.99
"[19129,51780]_patch_4_2",0.4391,0.7139,0.6711,0.6080,0.8188,0.2237,0.9217,0.6547,13.76,20.79,15.81,16.79
"[19129,51780]_patch_4_3",0.3643,0.1694,0.6556,0.3964,0.8108,0.1970,0.9070,0.6383,11.81,17.48,14.94,14.74
"[19129,51780]_patch_4_4",0.3074,0.8440,0.6182,0.5899,0.7656,0.2065,0.9083,0.6268,10.15,20.60,13.45,14.73
"[19129,51780]_patch_4_5",0.3663,0.2887,0.6413,0.4321,0.7655,0.2625,0.9142,0.6474,11.19,19.15,14.30,14.88
"[19129,51780]_patch_4_6",0.4645,0.2549,0.6272,0.4489,0.7937,0.3501,0.9110,0.6849,12.52,19.29,13.53,15.11
"[19129,51780]_patch_4_7",0.4030,0.0878,0.6195,0.3701,0.7107,0.3028,0.9155,0.6430,12.27,18.08,13.26,14.54
"[19129,51780]_patch_4_8",0.3603,0.0721,0.6649,0.3658,0.6653,0.2022,0.9193,0.5956,10.23,17.99,16.10,14.77
"[19129,51780]_patch_5_0",0.4210,0.8850,0.6365,0.6475,0.7140,0.2140,0.9202,0.6161,12.92,23.60,14.01,16.84
"[19129,51780]_patch_5_1",0.4358,0.8290,0.6573,0.6407,0.8057,0.2780,0.9244,0.6694,11.76,22.25,14.87,16.29
"[19129,51780]_patch_5_2",0.4578,0.7808,0.6530,0.6305,0.8050,0.2181,0.9230,0.6487,13.30,21.64,14.78,16.57
"[19129,51780]_patch_5_3",0.3990,0.1492,0.6215,0.3899,0.7777,0.2469,0.9041,0.6429,12.09,17.56,13.50,14.38
"[19129,51780]_patch_5_4",0.4408,0.1843,0.6240,0.4164,0.7838,0.2670,0.9019,0.6509,12.36,19.42,13.77,15.18
"[19129,51780]_patch_5_5",0.4130,0.2743,0.6353,0.4409,0.7745,0.2617,0.9141,0.6501,12.27,21.05,13.88,15.73
"[19129,51780]_patch_5_6",0.4512,0.1861,0.6460,0.4278,0.7721,0.3265,0.9136,0.6707,12.51,19.65,13.86,15.34
"[19129,51780]_patch_5_7",0.4402,0.1155,0.6163,0.3907,0.7315,0.3047,0.9141,0.6501,12.47,20.16,13.11,15.25
"[19129,51780]_patch_5_8",0.4174,0.1068,0.6548,0.3930,0.7160,0.1646,0.9246,0.6018,11.48,17.30,15.10,14.63
"[19129,51780]_patch_6_0",0.4270,0.8826,0.6531,0.6542,0.6934,0.3094,0.9208,0.6412,12.22,22.42,14.60,16.41
"[19129,51780]_patch_6_1",0.4070,0.1133,0.6435,0.3879,0.7489,0.1983,0.9217,0.6230,12.25,20.57,13.51,15.45
"[19129,51780]_patch_6_2",0.4979,0.1824,0.6401,0.4401,0.7989,0.3518,0.9157,0.6888,13.32,20.70,14.21,16.08
"[19129,51780]_patch_6_3",0.4562,0.2078,0.6227,0.4289,0.7766,0.3457,0.9039,0.6754,12.82,19.97,13.65,15.48
"[19129,51780]_patch_6_4",0.3938,0.2234,0.6170,0.4114,0.7922,0.3136,0.9029,0.6696,12.18,18.79,13.36,14.78
"[19129,51780]_patch_6_5",0.4172,0.2316,0.6490,0.4326,0.7998,0.3258,0.9110,0.6789,12.52,19.51,14.23,15.42
"[19129,51780]_patch_6_6",0.4795,0.2252,0.6459,0.4502,0.8100,0.3590,0.9165,0.6952,12.25,20.88,14.68,15.93
"[19129,51780]_patch_6_7",0.4683,0.7815,0.6387,0.6295,0.8519,0.3438,0.9148,0.7035,13.38,21.64,14.69,16.57
"[19129,51780]_patch_6_8",0.5138,0.8366,0.6540,0.6681,0.8228,0.3306,0.9262,0.6932,14.08,22.66,16.13,17.63
"[21061,52430]_patch_0_0",0.3883,0.3569,0.6659,0.4704,0.7875,0.1143,0.9350,0.6123,13.97,17.87,17.92,16.59
"[21061,52430]_patch_0_1",0.3762,0.3930,0.6796,0.4829,0.7959,0.1731,0.9462,0.6384,12.86,19.31,17.94,16.70
"[21061,52430]_patch_0_2",0.3904,0.4446,0.6640,0.4997,0.7628,0.2621,0.9363,0.6537,14.74,17.08,17.43,16.42
"[21061,52430]_patch_0_3",0.3875,0.4060,0.6590,0.4842,0.7412,0.2569,0.9390,0.6457,13.53,17.44,17.16,16.04
"[21061,52430]_patch_0_4",0.3861,0.2977,0.6839,0.4559,0.8214,0.2520,0.9391,0.6708,14.15,15.42,17.47,15.68
"[21061,52430]_patch_0_5",0.4470,0.3015,0.6736,0.4740,0.8109,0.2838,0.9459,0.6802,16.24,14.83,17.22,16.10
"[21061,52430]_patch_0_6",0.3210,0.1975,0.6834,0.4006,0.7509,0.1876,0.9518,0.6301,16.74,14.00,18.96,16.56
"[21061,52430]_patch_0_7",0.1997,0.1210,0.6782,0.3330,0.2955,0.3249,0.9502,0.5235,11.28,10.54,20.13,13.98
"[21061,52430]_patch_0_8",0.5027,0.3003,0.6507,0.4846,0.6646,0.2571,0.9511,0.6243,13.55,9.71,23.23,15.50
"[21061,52430]_patch_1_0",0.4252,0.2894,0.6452,0.4533,0.8325,0.1586,0.9377,0.6429,18.55,18.44,21.69,19.56
"[21061,52430]_patch_1_1",0.4701,0.1927,0.6771,0.4467,0.8265,0.1840,0.9426,0.6510,14.99,16.57,18.62,16.73
"[21061,52430]_patch_1_2",0.3830,0.3038,0.6706,0.4525,0.8052,0.2372,0.9379,0.6601,15.94,16.23,17.53,16.56
"[21061,52430]_patch_1_3",0.4852,0.3514,0.6770,0.5046,0.8156,0.2554,0.9370,0.6694,17.84,16.78,17.32,17.31
"[21061,52430]_patch_1_4",0.4728,0.4919,0.6509,0.5385,0.7951,0.2662,0.9349,0.6654,16.20,16.86,16.73,16.60
"[21061,52430]_patch_1_5",0.4477,0.5672,0.6711,0.5620,0.7812,0.2596,0.9471,0.6626,14.83,17.50,18.16,16.83
"[21061,52430]_patch_1_6",0.4274,0.3807,0.6651,0.4911,0.7715,0.2774,0.9499,0.6662,15.24,17.18,20.60,17.67
"[21061,52430]_patch_1_7",0.3963,0.4768,0.6664,0.5131,0.6873,0.2486,0.9525,0.6295,16.31,16.87,20.64,17.94
"[21061,52430]_patch_1_8",0.4660,0.6672,0.6511,0.5948,0.7944,0.2283,0.9509,0.6579,15.47,19.95,22.91,19.44
"[21061,52430]_patch_2_0",0.8411,0.2630,0.6077,0.5706,0.5882,0.2984,0.9493,0.6120,26.09,15.38,25.10,22.19
"[21061,52430]_patch_2_1",0.3908,0.3087,0.7818,0.4937,0.7987,0.2641,0.9396,0.6674,18.10,14.80,21.70,18.20
"[21061,52430]_patch_2_2",0.1961,0.1550,0.6464,0.3325,0.7012,0.2489,0.9393,0.6298,15.31,13.55,18.40,15.75
"[21061,52430]_patch_2_3",0.3666,0.2733,0.6658,0.4352,0.7979,0.1494,0.9373,0.6282,16.37,11.31,18.29,15.32
"[21061,52430]_patch_2_4",0.4405,0.4778,0.6803,0.5329,0.7448,0.1800,0.9404,0.6217,17.09,19.11,20.21,18.80
"[21061,52430]_patch_2_5",0.4034,0.3633,0.6658,0.4775,0.7488,0.2028,0.9451,0.6322,14.67,17.24,18.95,16.95
"[21061,52430]_patch_2_6",0.4222,0.4336,0.7662,0.5406,0.8007,0.2068,0.9405,0.6493,16.87,16.20,18.33,17.13
