filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[10962,52167]_patch_1_2",0.2181,0.0432,0.6594,0.3069,0.4657,0.1313,0.9131,0.5034,10.86,9.11,15.54,11.84
"[10962,52167]_patch_1_3",0.1612,0.0943,0.6752,0.3103,0.4714,0.0834,0.9131,0.4893,11.68,10.40,16.96,13.01
"[10962,52167]_patch_1_4",0.1625,0.1269,0.7093,0.3329,0.3950,0.1668,0.9406,0.5008,13.39,12.37,20.42,15.39
"[10962,52167]_patch_1_5",0.2742,0.2719,0.6763,0.4074,0.5477,0.1477,0.9422,0.5459,15.54,12.95,21.93,16.81
"[10962,52167]_patch_1_6",0.3463,0.3598,0.6577,0.4546,0.5648,0.1434,0.9474,0.5519,16.21,13.17,21.58,16.99
"[10962,52167]_patch_1_7",0.2952,0.2882,0.6502,0.4112,0.4029,0.2145,0.9469,0.5214,15.24,14.17,20.44,16.62
"[10962,52167]_patch_1_8",0.2847,0.3060,0.6480,0.4129,0.2806,0.3971,0.9501,0.5426,14.69,15.32,21.41,17.14
"[10962,52167]_patch_2_0",0.2371,0.0568,0.6567,0.3169,0.5127,0.1108,0.9201,0.5145,10.94,9.03,16.41,12.13
"[10962,52167]_patch_2_1",0.2711,0.0306,0.6539,0.3185,0.5166,0.0822,0.9165,0.5051,10.17,7.76,15.58,11.17
"[10962,52167]_patch_2_2",0.3158,0.0284,0.6433,0.3292,0.3551,0.0658,0.9090,0.4433,12.53,8.76,14.61,11.97
"[10962,52167]_patch_2_3",0.2035,0.1093,0.6841,0.3323,0.4216,0.0525,0.9103,0.4615,11.56,10.45,16.38,12.80
"[10962,52167]_patch_2_4",0.1512,0.1100,0.6864,0.3159,0.3017,0.2073,0.9410,0.4833,12.27,11.86,21.32,15.15
"[10962,52167]_patch_2_5",0.2395,0.2384,0.6485,0.3755,0.1832,0.2038,0.9505,0.4458,14.98,15.32,21.58,17.29
"[10962,52167]_patch_2_6",0.3619,0.3729,0.6390,0.4579,0.6170,0.1503,0.9432,0.5702,15.91,13.04,21.04,16.66
"[10962,52167]_patch_2_7",0.3438,0.2780,0.6580,0.4266,0.5583,0.1055,0.9364,0.5334,14.92,11.84,18.64,15.13
"[10962,52167]_patch_2_8",0.3031,0.1749,0.7495,0.4092,0.4351,0.2209,0.9402,0.5320,14.68,12.46,19.25,15.46
"[10962,52167]_patch_3_0",0.2897,0.1614,0.6483,0.3665,0.6027,0.1142,0.9221,0.5463,12.78,10.21,16.55,13.18
"[10962,52167]_patch_3_1",0.3253,0.1060,0.6710,0.3674,0.6777,0.0911,0.9192,0.5627,13.21,10.15,16.76,13.37
"[10962,52167]_patch_3_2",0.2372,0.1367,0.6936,0.3558,0.5949,0.0804,0.9220,0.5325,11.95,11.22,18.77,13.98
"[10962,52167]_patch_3_3",0.1723,0.1447,0.6742,0.3304,0.3711,0.1726,0.9376,0.4938,12.74,12.70,20.14,15.19
"[10962,52167]_patch_3_4",0.2441,0.2150,0.6555,0.3715,0.3744,0.1773,0.9426,0.4981,15.89,15.37,20.75,17.34
"[10962,52167]_patch_3_5",0.3054,0.2104,0.6305,0.3821,0.6044,0.1001,0.9246,0.5430,14.21,16.70,17.84,16.25
"[10962,52167]_patch_3_6",0.4366,0.2379,0.7059,0.4601,0.6554,0.1138,0.9228,0.5640,13.66,16.93,16.55,15.71
"[10962,52167]_patch_3_7",0.3685,0.0694,0.6404,0.3594,0.5695,0.1096,0.9252,0.5348,13.48,9.22,16.79,13.16
"[10962,52167]_patch_3_8",0.3239,0.3439,0.6462,0.4380,0.5675,0.1564,0.9355,0.5531,14.86,12.65,18.84,15.45
"[10962,52167]_patch_4_0",0.4655,0.3711,0.6599,0.4988,0.6416,0.2017,0.9479,0.5970,15.20,12.73,20.95,16.29
"[10962,52167]_patch_4_1",0.4434,0.3566,0.6708,0.4903,0.6465,0.1994,0.9390,0.5949,16.71,12.82,19.98,16.50
"[10962,52167]_patch_4_2",0.1946,0.1090,0.6694,0.3243,0.3805,0.2358,0.9355,0.5172,14.93,13.86,20.24,16.34
"[10962,52167]_patch_4_3",0.2409,0.1643,0.6582,0.3545,0.4450,0.2548,0.9386,0.5461,14.68,12.79,21.02,16.16
"[10962,52167]_patch_4_4",0.3648,0.2667,0.6265,0.4193,0.7409,0.1996,0.9211,0.6205,15.82,18.37,18.53,17.57
"[10962,52167]_patch_4_5",0.4062,0.1419,0.6046,0.3842,0.7317,0.1927,0.9091,0.6111,13.66,16.44,14.62,14.90
"[10962,52167]_patch_4_6",0.4566,0.9349,0.6057,0.6657,0.6525,0.1516,0.9208,0.5750,12.34,24.97,15.13,17.48
"[10962,52167]_patch_4_7",0.4806,0.2149,0.6076,0.4344,0.7494,0.2910,0.9086,0.6497,14.53,18.43,16.79,16.58
"[10962,52167]_patch_4_8",0.4429,0.4987,0.6085,0.5167,0.7322,0.2561,0.9351,0.6411,17.54,14.48,21.03,17.68
"[10962,52167]_patch_5_0",0.6192,0.4441,0.6600,0.5744,0.7299,0.2181,0.9319,0.6266,15.38,11.53,22.41,16.44
"[10962,52167]_patch_5_1",0.5532,0.4231,0.6594,0.5452,0.7877,0.1899,0.9375,0.6384,16.83,17.84,19.86,18.18
